Id,Name,Description,Category
1, Electric Fan, Portable electric fan for cooling., Home & Kitchen
2, Sports Watch, Water-resistant sports watch with fitness tracking., Electronics & Gadgets
3, Yoga Mat, Non-slip mat for yoga and exercise., Sports & Fitness
4, Bluetooth Speaker, Wireless Bluetooth speaker with deep bass., Electronics & Gadgets
5, Running Shoes, Comfortable shoes designed for running., Footwear
6, Leather Wallet, Stylish wallet made of premium leather., Jewelry & Accessories
7, Fitness Tracker, Track your workouts and heart rate with this device., Sports & Fitness
8, Wooden Dining Table, Elegant wooden dining table with modern design., Home & Furniture
9, Wireless Earbuds, Bluetooth wireless earbuds for music and calls., Electronics & Gadgets
10, Hair Dryer, Compact and efficient hair dryer., Beauty & Personal Care
